date,type,entry,calories,protein,carbs,netCarbs,fat,fiber,totalSugar,saturatedFat,vitaminA,vitaminC,vitaminD,vitaminB12,folate,choline,iron,calcium,magnesium,potassium,sodium,omega3,water (L)
2026-08-25,food,Bacon egg and cheese on a everything bagel,580,29,61,61,20,,,,,,,,,,,,,,,,
2026-08-25,food,Cortado,10,1,1,1,0,,,,,,,,,,,,,,,,
2026-08-25,food,Two pieces of bread with some butter,230,6,28,28,10,,,,,,,,,,,,,,,,
2026-08-25,food,"Three corn tortillas fried in olive oil, 7oz of wild cod, coleslaw, lettuce, cilantro, salsa fish tacos",837,49,63,63,40,,,,,,,,,,,,,,,,
2026-08-25,food,Purely Elizabeth granola and yogurt,240,9,27,27,11,,,,,,,,,,,,,,,,
2026-08-25,food,Two pieces of toast with butter and jam,280,6,41,41,10,,,,,,,,,,,,,,,,
2026-08-26,food,100g purely Elizabeth granola 150g yogurt,525,15.3,67.1,67.1,21.3,,,,,,,,,,,,,,,,
2026-08-26,food,365 Whole Foods Market Gruyere. 4 slice,360,28,4,4,28,,,,,,,,,,,,,,,,
2026-08-26,food,"365 Everyday Value, Whole Foods, Whole Foods Market Black forest ultra thin uncured ham, black forest. 8 slices",112,17.6,1.6,1.6,3.2,,,,,,,,,,,,,,,,
2026-08-26,food,365 Whole Foods Market Organic Mayonnaise. 2 tbsp,220,0,0,0,24,,,,,,,,,,,,,,,,
2026-08-26,food,Grey Poupon Dijon Mustard. 1.5 tbsp,8,0,0,0,0,,,,,,,,,,,,,,,,
2026-08-26,food,Sourdough 4 slices,320,12,60,60,4,,,,,,,,,,,,,,,,
2026-08-26,food,"1/3 cucumber, 2 lettuce pieces, 1 heirloom tomato",41,2.1,8.9,8.9,0.4,,,,,,,,,,,,,,,,
2026-08-29,food,Half a plate of sesame chicken,600,25,50,50,30,,,,,,,,,,,,,,,,
2026-08-29,food,Quarter plate of lamb curry,300,15,10,10,20,,,,,,,,,,,,,,,,
2026-08-29,food,Rice,205,4.3,44.5,44.5,0.4,,,,,,,,,,,,,,,,
2026-08-29,food,"3 pieces of fried fish, beans, rice",750,46.5,78,78,25,,,,,,,,,,,,,,,,
2026-08-29,food,"3 Scrambled eggs and bacon, salad, toast 1 piece, potatoes",520,26,44,44,26,,,,,,,,,,,,,,,,
2026-08-30,food,Stonyfield Organic Vanilla Whole Milk Yogurt. 120g,113,4.2,14.1,14.1,4.2,,,,,,,,,,,,,,,,
2026-08-30,food,Driscoll's Sweetest Batch Blueberries. 30 berries,24,0.3,6.3,6.3,0.1,,,,,,,,,,,,,,,,
2026-08-30,food,Half & half. 1.5 tbsp,26,0.8,0.8,0.8,2.3,,,,,,,,,,,,,,,,
2026-08-30,food,365 Whole Foods Market Light Amber Wildflower Honey. 1 tbsp,60,0,17,17,0,,,,,,,,,,,,,,,,
2026-08-30,food,Half of a large chocolate croissant,210,4,23,23,11,,,,,,,,,,,,,,,,
2026-08-30,food,Kind bar,200,6,17,17,15,,,,,,,,,,,,,,,,
2026-08-30,food,Ham sandwich with three slices of Whole Foods cheese eight slices of Whole Foods ham two pieces of sourdough mayonnaise,572,35.6,34.6,34.6,33.2,,,,,,,,,,,,,,,,
2026-08-30,food,Flat white 8oz,190,13,15,15,8,,,,,,,,,,,,,,,,
2026-08-30,food,"Annie's, Annie's Homegrown Organic Grass Fed Shells & White Cheddar Macaroni & Cheese. Half box as prepared",337,12.5,60,60,8.8,,,,,,,,,,,,,,,,
2026-08-30,food,Shawarma plate small,750,35,65,65,38,,,,,,,,,,,,,,,,
2026-08-30,food,Ice cream 2 scoops,274,4.8,31.6,31.6,14.8,,,,,,,,,,,,,,,,
2026-08-31,food,3 sausage breakfast patty’s,255,9,3,3,24,,,,,,,,,,,,,,,,
2026-08-31,food,Cappuccino,120,6,9,9,6,,,,,,,,,,,,,,,,
2026-08-31,food,3 egg scramble,216,18,2,2,15,,,,,,,,,,,,,,,,
2026-08-31,food,"Chipotle bowl with white rice, black beans, chicken fajitas, pico de gallo, sour cream cheese, and lettuce",810,54,71,71,31,,,,,,,,,,,,,,,,
2026-09-01,food,Tim Hortons small coffee with cream,80,2,3,3,7,,,,,,,,,,,,,,,,
2026-09-01,food,Tim Hortons bagel with cream cheese,350,9,55,55,12,,,,,,,,,,,,,,,,
2026-09-01,food,Half a tall can of Arizona iced tea,100,0,25,25,0,,,,,,,,,,,,,,,,
2026-09-01,food,Org. Tart Cherry Santa Cruz Lemonade. 2 cup,200,0,48,48,0,,,,,,,,,,,,,,,,
2026-09-01,food,Entire Box of white cheddar Annie’s Mac and Cheese with some broccoli,659,25.3,111.5,111.5,13.5,,,,,,,,,,,,,,,,
2026-09-01,food,Glass of wine,125,0.1,4,4,0,,,,,,,,,,,,,,,,
2026-09-01,food,"1.5 packs of Murachan ramen, 1 tbsp mayonnaise, 1 egg yolk",719,15,79,79,35.5,,,,,,,,,,,,,,,,
2026-09-01,water,48 oz water,0,0,0,0,0,,,,,,,,,,,,,,,,1.4
2026-09-01,exercise,1 hour of light tennis,-238,0,0,0,0,,,,,,,,,,,,,,,,
2026-09-02,food,One Degree Organic Foods Classic Granola. 95g,443,9.5,66.5,66.5,15.8,,,,,,,,,,,,,,,,
2026-09-02,food,KIRKLAND Signature Greek Yogourt. 180g,103,17.5,6.2,6.2,0,,,,,,,,,,,,,,,,
2026-09-02,food,75g blueberries,43,0.6,10.9,10.9,0.2,,,,,,,,,,,,,,,,
2026-09-02,food,8oz black coffee,2,0,0,0,0,,,,,,,,,,,,,,,,
2026-09-02,food,8oz earl grey with sugar and milk,35,1,6,6,1,,,,,,,,,,,,,,,,
2026-09-02,food,cardamom chai. 1 portion / packet,88,2.7,16.3,16.3,1.4,,,,,,,,,,,,,,,,
2026-09-02,food,Annie's spirals with butter and parmesan. 1 box with broccoli and 2 tbsp butter and 2 tbsp milk,793,23.5,108,108,31.3,,,,,,,,,,,,,,,,
2026-09-02,water,24 oz water,0,0,0,0,0,,,,,,,,,,,,,,,,0.7
2026-09-02,food,Gordon hot chocolate,120,1,28,28,2,,,,,,,,,,,,,,,,
2026-09-02,food,1 Costco bagel,300,11,62,62,1,,,,,,,,,,,,,,,,
2026-09-02,food,4 eggs fried in butter,346,25.2,1.6,1.6,25,,,,,,,,,,,,,,,,
2026-09-02,food,1 tbsp butter,102,0.1,0,0,11.5,,,,,,,,,,,,,,,,
2026-09-02,food,1 baby cucumber,8,0.3,1.9,1.9,0.1,,,,,,,,,,,,,,,,
2026-09-02,food,4 cherry tomato,12,0.6,2.6,2.6,0.1,,,,,,,,,,,,,,,,
2026-09-02,food,Kirkland Cheddar Coastal. 40g,160,10.7,0,0,13.3,,,,,,,,,,,,,,,,
2026-09-02,food,"75g Honey Nut Cheerios, 1 cup of milk, handful of blueberries",424,14.4,77.1,77.1,8.7,,,,,,,,,,,,,,,,
2026-09-02,exercise,15 min bike ride for errands,-85,0,0,0,0,,,,,,,,,,,,,,,,
2026-09-03,food,One Degree Organic Foods Classic Granola. 120g,560,12,84,84,20,,,,,,,,,,,,,,,,
2026-09-03,food,Handful blueberries,24,0.3,6.3,6.3,0.1,,,,,,,,,,,,,,,,
2026-09-03,food,1 cup of whole milk,149,7.7,11.7,11.7,7.9,,,,,,,,,,,,,,,,
2026-09-03,food,Sausage Farmers wrap from Tim Horton,640,21,50,50,40,,,,,,,,,,,,,,,,
2026-09-03,food,4 potstickers,320,12,36,36,14,,,,,,,,,,,,,,,,
2026-09-03,food,A little bit of nachos,350,9,33,33,20,,,,,,,,,,,,,,,,
2026-09-03,food,Spicy McChicken,390,14,41,41,21,,,,,,,,,,,,,,,,
2026-09-03,food,Medium fries McDonalds,320,5,43,43,15,,,,,,,,,,,,,,,,
